["port 1","LEFT"]
["port 2","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(302, 3)
1.9430528458166109e+14 2.6811998700132848e-02 8.2739512164539022e+00
1.9434706168004459e+14 2.6504483895674228e-02 8.2923225468045505e+00
1.9438883877842809e+14 2.6193715189326346e-02 8.3102679430525068e+00
1.9443061587681159e+14 2.5880115003456938e-02 8.3277735276653146e+00
1.9447239297519509e+14 2.5564116119341784e-02 8.3448251442205272e+00
1.9451417007357859e+14 2.5246161604957983e-02 8.3614083852341352e+00
1.9455594717196209e+14 2.4926704727203052e-02 8.3775086266651435e+00
1.9459772427034559e+14 2.4606208843294827e-02 8.3931110699754790e+00
1.9463950136872909e+14 2.4285147265179854e-02 8.4082007926863351e+00
1.9468127846711259e+14 2.3964003089737340e-02 8.4227628084264801e+00
1.9472305556549609e+14 2.3643268986449976e-02 8.4367821375106224e+00
1.9476483266387959e+14 2.3323446933039185e-02 8.4502438891113698e+00
1.9480660976226309e+14 2.3005047888292177e-02 8.4631333560898607e+00
1.9484838686064659e+14 2.2688591390075542e-02 8.4754361235211313e+00
1.9489016395903009e+14 2.2374605065222240e-02 8.4871381918827602e+00
1.9493194105741359e+14 2.2063624036782446e-02 8.4982261157559904e+00
1.9497371815579709e+14 2.1756190213002499e-02 8.5086871587141619e+00
1.9501549525418059e+14 2.1452851441453997e-02 8.5185094648234649e+00
1.9505727235256409e+14 2.1154160511057677e-02 8.5276822468561804e+00
1.9509904945094759e+14 2.0860673984468732e-02 8.5361959908940932e+00
1.9514082654933109e+14 2.0572950843401595e-02 8.5440426764853203e+00
1.9518260364771459e+14 2.0291550930341677e-02 8.5512160108925119e+00
1.9522438074609809e+14 2.0017033171556568e-02 8.5577116752479157e+00
1.9526615784448159e+14 1.9749953568803900e-02 8.5635275796037806e+00
1.9530793494286509e+14 1.9490862950551434e-02 8.5686641229632130e+00
1.9534971204124859e+14 1.9240304478103973e-02 8.5731244534100561e+00
1.9539148913963209e+14 1.8998810907847129e-02 8.5769147224704714e+00
1.9543326623801559e+14 1.8766901617789107e-02 8.5800443268823940e+00
1.9547504333639909e+14 1.8545079414812250e-02 8.5825261300770777e+00
1.9551682043478259e+14 1.8333827148277526e-02 8.5843766549705283e+00
1.9555859753316609e+14 1.8133604165674205e-02 8.5856162391964723e+00
1.9560037463154959e+14 1.7944842656495173e-02 8.5862691437701315e+00
1.9564215172993309e+14 1.7767943941048255e-02 8.5863636064330748e+00
1.9568392882831659e+14 1.7603274770786829e-02 8.5859318316596092e+00
1.9572570592670009e+14 1.7451163715408665e-02 8.5850099105457680e+00
1.9576748302508359e+14 1.7311897718770005e-02 8.5836376655666662e+00
1.9580926012346709e+14 1.7185718909741136e-02 8.5818584174446642e+00
1.9585103722185059e+14 1.7072821755107929e-02 8.5797186740488574e+00
1.9589281432023409e+14 1.6973350638847817e-02 8.5772677442229650e+00
1.9593459141861759e+14 1.6887397945443312e-02 8.5745572825530250e+00
1.9597636851700109e+14 1.6815002714261663e-02 8.5716407741475873e+00
1.9601814561538459e+14 1.6756149917766680e-02 8.5685729713001511e+00
1.9605992271376809e+14 1.6710770398983985e-02 8.5654092962383253e+00
1.9610169981215159e+14 1.6678741484056094e-02 8.5622052258517023e+00
1.9614347691053512e+14 1.6659888264956593e-02 8.5590156752052895e+00
1.9618525400891862e+14 1.6653985526638469e-02 8.5558943967041792e+00
1.9622703110730212e+14 1.6660760273226303e-02 8.5528934109849359e+00
1.9626880820568562e+14 1.6679894790443742e-02 8.5500624840205575e+00
1.9631058530406912e+14 1.6711030167184275e-02 8.5474486626774038e+00
1.9635236240245262e+14 1.6753770188632680e-02 8.5450958782162996e+00
1.9639413950083612e+14 1.6807685507001967e-02 8.5430446241968205e+00
1.9643591659921962e+14 1.6872317993806341e-02 8.5413317121216750e+00
1.9647769369760312e+14 1.6947185179395724e-02 8.5399901051528424e+00
1.9651947079598662e+14 1.7031784690789122e-02 8.5390488275015564e+00
1.9656124789437012e+14 1.7125598606997819e-02 8.5385329447712266e+00
1.9660302499275362e+14 1.7228097661325738e-02 8.5384636086946060e+00
1.9664480209113712e+14 1.7338745231690850e-02 8.5388581583912071e+00
1.9668657918952062e+14 1.7457001072315004e-02 8.5397302694679968e+00
