["port 1","LEFT"]
["port 2","RIGHT"]
("port 1","TE",1,"port 1",1,"transmission")
1.9654760639285712e+14 2.9745443205971969e-02 5.9012618631254483e+00
1.9680253195238094e+14 2.7579575441358122e-02 6.0511478024612213e+00
1.9705745751190475e+14 2.1717565047618070e-02 6.0583700714877455e+00
1.9731238307142856e+14 1.8993680796988436e-02 5.7689031489673344e+00
1.9756730863095238e+14 2.3694825386479285e-02 5.5598595889373508e+00
1.9782223419047619e+14 2.9316284349649568e-02 5.6241697943799407e+00
1.9807715975000000e+14 3.1012766719142517e-02 5.7712100402651361e+00
1.9833208530952381e+14 2.8849556363715719e-02 5.8569581837650011e+00
1.9858701086904762e+14 2.6684424550134533e-02 5.7950425367146634e+00
1.9884193642857141e+14 2.8799104133308592e-02 5.6818944984087469e+00
1.9909686198809522e+14 3.3835303525391311e-02 5.6941413994501433e+00
1.9935178754761903e+14 3.7506562838921745e-02 5.8108584261131435e+00
1.9960671310714284e+14 3.7843956193830838e-02 5.9410023165917227e+00
1.9986163866666666e+14 3.5967165304123846e-02 6.0122483669081337e+00
("port 1","TE",1,"port 2",1,"transmission")
(50, 3)
1.8737028625000000e+14 3.6471602659652675e-04 1.0343765148316766e+00
1.8762521180952381e+14 3.7705491584572769e-04 1.6005705225611326e+00
1.8788013736904762e+14 3.8723594115746944e-04 2.1659575976897742e+00
1.8813506292857144e+14 3.9526244779666196e-04 2.7311583943833027e+00
1.8838998848809525e+14 4.0131742413539412e-04 3.2970031489531584e+00
1.8864491404761903e+14 4.0568181068071106e-04 3.8644690697012591e+00
1.8889983960714284e+14 4.0866239139721234e-04 4.4345272926718300e+00
1.8915476516666666e+14 4.1055147641170977e-04 5.0079505031168896e+00
1.8940969072619047e+14 4.1162046709229412e-04 5.5851445067793080e+00
1.8966461628571428e+14 4.1213275716207957e-04 6.1660542370233120e+00
1.8991954184523809e+14 4.1235619883364893e-04 6.7501665241318705e+00
1.9017446740476191e+14 4.1256153413206901e-04 7.3366040802394572e+00
1.9042939296428572e+14 4.1300386364649937e-04 7.9242867619063979e+00
1.9068431852380953e+14 4.1389193382945295e-04 8.5121252682294450e+00
1.9093924408333334e+14 4.1535257792482650e-04 9.0992039941980352e+00
1.9119416964285712e+14 4.1739816325358402e-04 9.6849064402525435e+00
1.9144909520238094e+14 4.1990667626025710e-04 1.0268948431747758e+01
1.9170402076190475e+14 4.2262594776420104e-04 1.0851316307823804e+01
1.9195894632142856e+14 4.2521060464044083e-04 1.1432147581349724e+01
1.9221387188095238e+14 4.2728953232042751e-04 1.2011616667533673e+01
1.9246879744047619e+14 4.2854641554075336e-04 1.2589880620788509e+01
1.9272372300000000e+14 4.2878553653150764e-04 1.3167102682372098e+01
1.9297864855952381e+14 4.2795794055583598e-04 1.3743526643181708e+01
1.9323357411904762e+14 4.2613974315288485e-04 1.4319547488359325e+01
1.9348849967857144e+14 4.2347568680008808e-04 1.4895726384908603e+01
1.9374342523809522e+14 4.2011495188177313e-04 1.5472726660461655e+01
1.9399835079761903e+14 4.1616592731748617e-04 1.6051185940940410e+01
1.9425327635714284e+14 4.1168405467546148e-04 1.6631568952958435e+01
1.9450820191666666e+14 4.0669002483897828e-04 1.7214052157820948e+01
1.9476312747619047e+14 4.0120357990207323e-04 1.7798474702567415e+01
1.9501805303571428e+14 3.9527580473596173e-04 1.8384363187030115e+01
1.9527297859523809e+14 3.8900810309877202e-04 1.8971017142324797e+01
1.9552790415476191e+14 3.8255283697146222e-04 1.9557634237185471e+01
1.9578282971428572e+14 3.7609462422894278e-04 2.0143451652444647e+01
1.9603775527380953e+14 3.6981386970373262e-04 2.0727873149211288e+01
1.9629268083333331e+14 3.6383921542143993e-04 2.1310542723305907e+01
1.9654760639285712e+14 3.5820354803795012e-04 2.1891331221201206e+01
1.9680253195238094e+14 3.5282322504738496e-04 2.2470234038407025e+01
1.9705745751190475e+14 3.4751525357595094e-04 2.3047225482082972e+01
1.9731238307142856e+14 3.4205142327867893e-04 2.3622147389429223e+01
1.9756730863095238e+14 3.3622955813112287e-04 2.4194700039255785e+01
1.9782223419047619e+14 3.2993142989004326e-04 2.4764554600592220e+01
1.9807715975000000e+14 3.2314148298734217e-04 2.5331546252252771e+01
1.9833208530952381e+14 3.1591832833280175e-04 2.5895866367977664e+01
1.9858701086904762e+14 3.0833278149314193e-04 2.6458166425683743e+01
1.9884193642857141e+14 3.0040187374950585e-04 2.7019515944771342e+01
1.9909686198809522e+14 2.9205118367498731e-04 2.7581212881200756e+01
1.9935178754761903e+14 2.8312633488304249e-04 2.8144507237519750e+01
1.9960671310714284e+14 2.7345285949948096e-04 2.8710335490002684e+01
1.9986163866666666e+14 2.6292210403980180e-04 2.9279152554736445e+01
("port 2","TE",1,"port 1",1,"transmission")
(50, 3)
1.8737028625000000e+14 2.2761842839615130e-04 1.2787547353654523e+00
1.8762521180952381e+14 2.4589332175206446e-04 1.7233116480992852e+00
1.8788013736904762e+14 2.8312210636553695e-04 2.2632770860648992e+00
1.8813506292857144e+14 3.1201134599406917e-04 2.8959529853078236e+00
1.8838998848809525e+14 3.1488382593643807e-04 3.5575287780187428e+00
1.8864491404761903e+14 2.9288108734076585e-04 4.1808164088932118e+00
1.8889983960714284e+14 2.6611464736318456e-04 4.7104289586688051e+00
1.8915476516666666e+14 2.6247654731917993e-04 5.1677481177871947e+00
1.8940969072619047e+14 2.8738418579182535e-04 5.6749091589049421e+00
1.8966461628571428e+14 3.1711713661469759e-04 6.2864151216123112e+00
1.8991954184523809e+14 3.2856039010622547e-04 6.9581671066963837e+00
1.9017446740476191e+14 3.1503902264747307e-04 7.6260199195712319e+00
1.9042939296428572e+14 2.8746801593249884e-04 8.2300397941240515e+00
1.9068431852380953e+14 2.6968341698778610e-04 8.7442277073947992e+00
1.9093924408333334e+14 2.7972452421899847e-04 9.2368548722839474e+00
1.9119416964285712e+14 3.0802516847670038e-04 9.8022568222813344e+00
1.9144909520238094e+14 3.3037369430136869e-04 1.0441443779411122e+01
1.9170402076190475e+14 3.3164256901578555e-04 1.1101977767887082e+01
1.9195894632142856e+14 3.1337369371610223e-04 1.1727385559784434e+01
1.9221387188095238e+14 2.9232453265098056e-04 1.2278636090827002e+01
1.9246879744047619e+14 2.8917730892930683e-04 1.2777106757986269e+01
1.9272372300000000e+14 3.0692160224026643e-04 1.3304882695026205e+01
1.9297864855952381e+14 3.2762036580363726e-04 1.3901734057386150e+01
1.9323357411904762e+14 3.3341927036729821e-04 1.4539251372790229e+01
1.9348849967857144e+14 3.2012518798121050e-04 1.5168511788459504e+01
1.9374342523809522e+14 2.9814217665733361e-04 1.5748373860601129e+01
1.9399835079761903e+14 2.8500919054621105e-04 1.6274821766920873e+01
1.9425327635714284e+14 2.8948085488124370e-04 1.6800783736482849e+01
1.9450820191666666e+14 3.0227256327166013e-04 1.7377925026222648e+01
1.9476312747619047e+14 3.0806551996907767e-04 1.8001389710094628e+01
1.9501805303571428e+14 2.9988118836591374e-04 1.8633362669628138e+01
1.9527297859523809e+14 2.8258101702488390e-04 1.9235771162112222e+01
1.9552790415476191e+14 2.6821978858032955e-04 1.9794986122091775e+01
1.9578282971428572e+14 2.6529866117080611e-04 2.0340098842374793e+01
1.9603775527380953e+14 2.7010666901164615e-04 2.0913784925496671e+01
1.9629268083333331e+14 2.7190252132057300e-04 2.1522361341879979e+01
1.9654760639285712e+14 2.6436619806932405e-04 2.2137440891746856e+01
1.9680253195238094e+14 2.5068168047222522e-04 2.2724594177945804e+01
1.9705745751190475e+14 2.4051814272403463e-04 2.3272862014439717e+01
1.9731238307142856e+14 2.4032465800517087e-04 2.3813632803031769e+01
1.9756730863095238e+14 2.4547574828912076e-04 2.4387813015177432e+01
1.9782223419047619e+14 2.4534364109768722e-04 2.4997125615877021e+01
1.9807715975000000e+14 2.3404098103765414e-04 2.5607528974441990e+01
1.9833208530952381e+14 2.1575297388438526e-04 2.6175701657806005e+01
1.9858701086904762e+14 2.0254449282572782e-04 2.6684725236433845e+01
1.9884193642857141e+14 2.0305170206564666e-04 2.7183395608504874e+01
1.9909686198809522e+14 2.1124986278870576e-04 2.7739581908050106e+01
1.9935178754761903e+14 2.1330259798928988e-04 2.8358378413269435e+01
1.9960671310714284e+14 2.0114285015145533e-04 2.8996264697322655e+01
1.9986163866666666e+14 1.7777252061292837e-04 2.9595012697307190e+01
("port 2","TE",1,"port 2",1,"transmission")
(50, 3)
1.8737028625000000e+14 1.0838387405704754e-01 2.4301284247853805e+00
1.8762521180952381e+14 1.0805452167517274e-01 2.4306915232671478e+00
1.8788013736904762e+14 1.0772236039186936e-01 2.4322494862425312e+00
1.8813506292857144e+14 1.0731338612833888e-01 2.4344405771123658e+00
1.8838998848809525e+14 1.0680862703218268e-01 2.4365519824275168e+00
1.8864491404761903e+14 1.0624926181446631e-01 2.4380093490533605e+00
1.8889983960714284e+14 1.0570168801745305e-01 2.4387159894330823e+00
1.8915476516666666e+14 1.0521125834478456e-01 2.4390308083725944e+00
1.8940969072619047e+14 1.0477805772411040e-01 2.4394441233151798e+00
1.8966461628571428e+14 1.0436844530377574e-01 2.4402238585243272e+00
1.8991954184523809e+14 1.0394805522298053e-01 2.4412974211604901e+00
1.9017446740476191e+14 1.0350754645378606e-01 2.4424206334630787e+00
1.9042939296428572e+14 1.0306154124421955e-01 2.4434521437135288e+00
1.9068431852380953e+14 1.0262505773621390e-01 2.4444810646408301e+00
1.9093924408333334e+14 1.0219121425218150e-01 2.4456936655694661e+00
1.9119416964285712e+14 1.0173305690951821e-01 2.4471063249424416e+00
1.9144909520238094e+14 1.0123046478713166e-01 2.4484331301325231e+00
1.9170402076190475e+14 1.0069834758363513e-01 2.4492566968458540e+00
1.9195894632142856e+14 1.0018735480333585e-01 2.4494004856591354e+00
1.9221387188095238e+14 9.9749690913658373e-02 2.4491862053156273e+00
1.9246879744047619e+14 9.9394346871974792e-02 2.4493014109263678e+00
1.9272372300000000e+14 9.9070336046412702e-02 2.4503150107932505e+00
1.9297864855952381e+14 9.8696930162064364e-02 2.4522105742275335e+00
1.9323357411904762e+14 9.8220990069247519e-02 2.4543295731189936e+00
1.9348849967857144e+14 9.7657848871357783e-02 2.4557975040319984e+00
1.9374342523809522e+14 9.7083601324885360e-02 2.4561352981928435e+00
1.9399835079761903e+14 9.6582771961998104e-02 2.4556110058816052e+00
1.9425327635714284e+14 9.6189284305573872e-02 2.4550555399344400e+00
1.9450820191666666e+14 9.5864844664788174e-02 2.4552663059079607e+00
1.9476312747619047e+14 9.5530108729275878e-02 2.4564565053285734e+00
1.9501805303571428e+14 9.5122830511415346e-02 2.4581621534734821e+00
1.9527297859523809e+14 9.4638344018049991e-02 2.4596383523437821e+00
1.9552790415476191e+14 9.4124413747749811e-02 2.4604120252537043e+00
1.9578282971428572e+14 9.3638569655991835e-02 2.4605716677953091e+00
1.9603775527380953e+14 9.3204099945373084e-02 2.4605949131857443e+00
1.9629268083333331e+14 9.2799919438661144e-02 2.4608913603699842e+00
1.9654760639285712e+14 9.2389229157710223e-02 2.4614738135046195e+00
1.9680253195238094e+14 9.1957820289376213e-02 2.4620374786247683e+00
1.9705745751190475e+14 9.1525831585936912e-02 2.4623420388347035e+00
1.9731238307142856e+14 9.1122704309013786e-02 2.4625129443938207e+00
1.9756730863095238e+14 9.0750385206469220e-02 2.4629523573538901e+00
1.9782223419047619e+14 9.0372302714823577e-02 2.4639222798213685e+00
1.9807715975000000e+14 8.9942265692108503e-02 2.4651973122600039e+00
1.9833208530952381e+14 8.9449132257099953e-02 2.4661466010212476e+00
1.9858701086904762e+14 8.8936167911272651e-02 2.4662236250944778e+00
1.9884193642857141e+14 8.8474012528133181e-02 2.4654689391045714e+00
1.9909686198809522e+14 8.8105893494039425e-02 2.4645778131650138e+00
1.9935178754761903e+14 8.7809772891234664e-02 2.4644203138623393e+00
1.9960671310714284e+14 8.7510479403936622e-02 2.4653778803108395e+00
1.9986163866666666e+14 8.7133764590364510e-02 2.4670354919626054e+00
